       Čas    Pozicija X    Pozicija Y     Hitrost  Dejanska hitrost      Smer   Razdalja do B   Odmik od trase
     [min]      [100 km]      [100 km]      [km/h]            [km/h]       [°]        [100 km]         [100 km]
---------------------------------------------------------------------------------------------------------------
        87        0.2622        0.4292       30.00             34.67      52.5         4.49958         0.047810
        88        0.2659        0.4336       30.00             34.67      52.5         4.49381         0.047429
        89        0.2697        0.4380       30.00             34.67      52.5         4.48804         0.047049
        90        0.2734        0.4424       30.00             34.67      52.5         4.48227         0.046669
        91        0.2772        0.4468       30.00             34.67      52.5         4.47650         0.046290
        92        0.2810        0.4512       30.00             34.67      52.5         4.47073         0.045911
        93        0.2847        0.4555       30.00             34.67      52.5         4.46496         0.045532
        94        0.2885        0.4599       30.00             34.67      52.5         4.45919         0.045154
        95        0.2923        0.4643       30.00             34.67      52.5         4.45342         0.044776
        96        0.2960        0.4687       30.00             34.67      52.6         4.44765         0.044398
        97        0.2998        0.4731       30.00             34.67      52.6         4.44188         0.044021
        98        0.3035        0.4775       30.00             34.67      52.6         4.43611         0.043644
        99        0.3073        0.4819       30.00             34.67      52.6         4.43034         0.043267
       100        0.3111        0.4862       30.00             34.67      52.6         4.42457         0.042891
       101        0.3148        0.4906       30.00             34.67      52.6         4.41880         0.042515
       102        0.3186        0.4950       30.00             34.67      52.6         4.41304         0.042140
       103        0.3223        0.4994       30.00             34.67      52.6         4.40727         0.041765
       104        0.3261        0.5038       30.00             34.67      52.6         4.40150         0.041390
       105        0.3299        0.5082       30.00             34.67      52.6         4.39573         0.041016
       106        0.3336        0.5126       30.00             34.67      52.6         4.38996         0.040642
       107        0.3374        0.5170       30.00             34.67      52.6         4.38419         0.040268
       108        0.3411        0.5213       30.00             34.67      52.6         4.37842         0.039895
       109        0.3449        0.5257       30.00             34.67      52.6         4.37265         0.039522
       110        0.3487        0.5301       30.00             34.67      52.6         4.36688         0.039149
       111        0.3524        0.5345       30.00             34.67      52.6         4.36111         0.038777
       112        0.3562        0.5389       30.00             34.67      52.6         4.35534         0.038405
       113        0.3599        0.5433       30.00             34.67      52.6         4.34957         0.038034
       114        0.3637        0.5477       30.00             34.67      52.6         4.34380         0.037663
       115        0.3674        0.5521       30.00             34.67      52.6         4.33803         0.037292
       116        0.3712        0.5565       30.00             34.67      52.6         4.33227         0.036922
       117        0.3750        0.5609       30.00             34.67      52.6         4.32650         0.036552
       118        0.3787        0.5652       30.00             34.67      52.6         4.32073         0.036182
       119        0.3825        0.5696       30.00             34.67      52.7         4.31496         0.035813
       120        0.3862        0.5740       30.00             34.67      52.7         4.30919         0.035444
       121        0.3896        0.5769       30.00             26.31      52.7         4.30490         0.034485
       122        0.3929        0.5797       30.00             26.31      52.7         4.30061         0.033528
       123        0.3962        0.5826       30.00             26.31      52.7         4.29633         0.032571
       124        0.3996        0.5854       30.00             26.31      52.7         4.29204         0.031615
       125        0.4029        0.5883       30.00             26.31      52.7         4.28776         0.030661
       126        0.4062        0.5911       30.00             26.31      52.7         4.28347         0.029707
       127        0.4095        0.5940       30.00             26.31      52.7         4.27918         0.028755
       128        0.4129        0.5968       30.00             26.30      52.7         4.27490         0.027804
       129        0.4162        0.5997       30.00             26.30      52.8         4.27061         0.026853
       130        0.4195        0.6025       30.00             26.30      52.8         4.26633         0.025904
       131        0.4229        0.6054       30.00             26.30      52.8         4.26204         0.024956
       132        0.4262        0.6083       30.00             26.30      52.8         4.25776         0.024009
       133        0.4295        0.6111       30.00             26.30      52.8         4.25347         0.023063
       134        0.4328        0.6140       30.00             26.30      52.8         4.24919         0.022118
       135        0.4362        0.6168       30.00             26.29      52.8         4.24490         0.021175
       136        0.4395        0.6197       30.00             26.29      52.8         4.24062         0.020232
       137        0.4428        0.6225       30.00             26.29      52.9         4.23634         0.019290
       138        0.4461        0.6254       30.00             26.29      52.9         4.23205         0.018350
       139        0.4494        0.6283       30.00             26.29      52.9         4.22777         0.017411
       140        0.4528        0.6311       30.00             26.29      52.9         4.22348         0.016472
       141        0.4561        0.6340       30.00             26.29      52.9         4.21920         0.015535
       142        0.4594        0.6368       30.00             26.28      52.9         4.21492         0.014599
       143        0.4627        0.6397       30.00             26.28      52.9         4.21064         0.013664
       144        0.4660        0.6426       30.00             26.28      52.9         4.20635         0.012730
       145        0.4693        0.6454       30.00             26.28      53.0         4.20207         0.011797
       146        0.4726        0.6483       30.00             26.28      53.0         4.19779         0.010865
       147        0.4760        0.6512       30.00             26.28      53.0         4.19351         0.009935
       148        0.4793        0.6540       30.00             26.28      53.0         4.18923         0.009005
       149        0.4826        0.6569       30.00             26.28      53.0         4.18494         0.008077
       150        0.4859        0.6598       30.00             26.27      53.0         4.18066         0.007149
       151        0.4892        0.6626       30.00             26.27      53.0         4.17638         0.006223
       152        0.4925        0.6655       30.00             26.27      53.0         4.17210         0.005298
       153        0.4958        0.6684       30.00             26.27      53.1         4.16782         0.004374
       154        0.4991        0.6712       30.00             26.27      53.1         4.16354         0.003451
       155        0.5024        0.6741       30.00             26.27      53.1         4.15926         0.002529
       156        0.5057        0.6770       30.00             26.27      53.1         4.15498         0.001608
