       Čas    Pozicija X    Pozicija Y     Hitrost  Dejanska hitrost      Smer   Razdalja do B   Odmik od trase
     [min]      [100 km]      [100 km]      [km/h]            [km/h]       [°]        [100 km]         [100 km]
---------------------------------------------------------------------------------------------------------------
        87        0.2951        0.3959       30.00             34.53      56.9         4.50623         0.001403
        88        0.2986        0.4005       30.00             34.53      56.9         4.50047         0.001401
        89        0.3021        0.4051       30.00             34.53      56.9         4.49472         0.001399
        90        0.3055        0.4097       30.00             34.53      56.9         4.48896         0.001397
        91        0.3090        0.4143       30.00             34.53      56.9         4.48320         0.001396
        92        0.3124        0.4189       30.00             34.53      56.9         4.47745         0.001394
        93        0.3159        0.4235       30.00             34.53      56.9         4.47169         0.001392
        94        0.3193        0.4281       30.00             34.53      56.9         4.46594         0.001390
        95        0.3228        0.4327       30.00             34.53      56.9         4.46018         0.001388
        96        0.3262        0.4373       30.00             34.53      56.9         4.45443         0.001387
        97        0.3297        0.4419       30.00             34.53      56.9         4.44867         0.001385
        98        0.3331        0.4465       30.00             34.53      56.9         4.44291         0.001383
        99        0.3366        0.4511       30.00             34.53      56.9         4.43716         0.001381
       100        0.3401        0.4557       30.00             34.53      56.9         4.43140         0.001380
       101        0.3435        0.4603       30.00             34.53      56.9         4.42565         0.001378
       102        0.3470        0.4649       30.00             34.53      56.9         4.41989         0.001376
       103        0.3504        0.4695       30.00             34.53      56.9         4.41414         0.001374
       104        0.3539        0.4741       30.00             34.53      56.9         4.40838         0.001372
       105        0.3573        0.4787       30.00             34.53      56.9         4.40262         0.001371
       106        0.3608        0.4833       30.00             34.53      56.9         4.39687         0.001369
       107        0.3642        0.4879       30.00             34.53      56.9         4.39111         0.001367
       108        0.3677        0.4925       30.00             34.53      56.9         4.38536         0.001365
       109        0.3711        0.4971       30.00             34.53      56.9         4.37960         0.001363
       110        0.3746        0.5017       30.00             34.53      56.9         4.37385         0.001362
       111        0.3781        0.5063       30.00             34.53      56.9         4.36809         0.001360
       112        0.3815        0.5109       30.00             34.53      56.9         4.36233         0.001358
       113        0.3850        0.5156       30.00             34.53      56.9         4.35658         0.001356
       114        0.3884        0.5202       30.00             34.53      56.9         4.35082         0.001354
       115        0.3919        0.5248       30.00             34.53      56.9         4.34507         0.001353
       116        0.3953        0.5294       30.00             34.53      56.9         4.33931         0.001351
       117        0.3988        0.5340       30.00             34.53      56.9         4.33356         0.001349
       118        0.4022        0.5386       30.00             34.53      56.9         4.32780         0.001347
       119        0.4057        0.5432       30.00             34.53      56.9         4.32204         0.001345
       120        0.4092        0.5478       30.00             34.53      56.9         4.31629         0.001344
       121        0.4118        0.5511       30.00             25.35      61.9         4.31207         0.001185
       122        0.4143        0.5544       30.00             25.17      63.7         4.30787         0.001184
       123        0.4168        0.5578       30.00             25.17      63.7         4.30368         0.001183
       124        0.4194        0.5611       30.00             25.17      63.7         4.29948         0.001182
       125        0.4219        0.5645       30.00             25.17      63.7         4.29529         0.001181
       126        0.4244        0.5678       30.00             25.17      63.7         4.29109         0.001179
       127        0.4269        0.5712       30.00             25.17      63.7         4.28690         0.001178
       128        0.4294        0.5745       30.00             25.17      63.7         4.28270         0.001177
       129        0.4320        0.5779       30.00             25.17      63.7         4.27851         0.001176
       130        0.4345        0.5813       30.00             25.17      63.7         4.27431         0.001175
       131        0.4370        0.5846       30.00             25.17      63.7         4.27012         0.001174
       132        0.4395        0.5880       30.00             25.17      63.7         4.26592         0.001172
       133        0.4420        0.5913       30.00             25.17      63.7         4.26173         0.001171
       134        0.4445        0.5947       30.00             25.17      63.7         4.25753         0.001170
       135        0.4471        0.5980       30.00             25.17      63.7         4.25334         0.001169
       136        0.4496        0.6014       30.00             25.17      63.7         4.24914         0.001168
       137        0.4521        0.6047       30.00             25.17      63.7         4.24495         0.001167
       138        0.4546        0.6081       30.00             25.17      63.7         4.24075         0.001166
       139        0.4571        0.6115       30.00             25.17      63.7         4.23656         0.001164
       140        0.4597        0.6148       30.00             25.17      63.7         4.23236         0.001163
       141        0.4622        0.6182       30.00             25.17      63.7         4.22817         0.001162
       142        0.4647        0.6215       30.00             25.17      63.7         4.22397         0.001161
       143        0.4672        0.6249       30.00             25.17      63.7         4.21978         0.001160
       144        0.4697        0.6282       30.00             25.17      63.7         4.21558         0.001159
       145        0.4722        0.6316       30.00             25.17      63.7         4.21139         0.001157
       146        0.4748        0.6349       30.00             25.17      63.7         4.20719         0.001156
       147        0.4773        0.6383       30.00             25.17      63.7         4.20300         0.001155
       148        0.4798        0.6416       30.00             25.17      63.7         4.19880         0.001154
       149        0.4823        0.6450       30.00             25.17      63.7         4.19461         0.001153
       150        0.4848        0.6484       30.00             25.17      63.7         4.19041         0.001152
